,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NR_033639,41.20896896,0.373556571,0.265205781,-1.408553651,0.158967192,0.723902576
NR_033641,1.289682331,-0.10349145,0.261334782,0.396011005,0.69209691,1
NR_033642,37.08394655,0.182951085,0.22397727,-0.816828801,0.414026271,0.970192346
NR_033643,1.445723088,0.029112067,0.221137012,-0.131647191,0.895263357,1
NR_033647,45.57609987,0.290374869,0.247740986,-1.17209055,0.241160703,0.843205683
NR_033648,67.04027859,-0.38694658,0.187660916,2.061945493,0.039212926,0.374485442
NR_033726,21.97374308,-0.212000281,0.323417982,0.655499361,0.512146298,1
NR_033727,53.96365727,0.468332617,0.229506704,-2.040605387,0.041290066,0.385655819
NR_033729,92.36524822,0.213093781,0.200205028,-1.064377769,0.287157601,0.88635853
NR_033736,235.0457174,0.224948164,0.1724256,-1.30461001,0.192025678,0.779239608
NR_033744,1.369142151,0.014629334,0.29787999,-0.049111502,0.960830438,1
NR_033745,8.218547959,0.278942388,0.33313754,-0.837318989,0.402413288,0.966749823
NR_033780,82.36220713,0.063101871,0.196062977,-0.321844909,0.747570191,1
NR_033782,56.80716474,-0.317481856,0.20852169,1.522536364,0.127874741,0.660533089
NR_033794,53.23888444,0.478228604,0.223942928,-2.13549322,0.032720743,0.338264728
NR_033802,16.17369178,0.320829943,0.308321046,-1.040571015,0.298074689,0.893103339
NR_033803,1.629598384,0.01723721,0.301028713,-0.057261015,0.954337275,1
NR_033804,0.169869573,-0.043555641,0.148967141,0.292384216,0.769992875,1
NR_034038,176.4393514,0.312625563,0.190750918,-1.638920355,0.101229848,0.597879857
NR_034042,7.560912024,-0.007302995,0.335986878,0.021735952,0.982658585,1
NR_034043,1.085976429,0.107003458,0.277632822,-0.385413572,0.699931029,1
NR_034045,1.940603091,0.420728962,0.319086387,-1.318542499,0.187322108,0.774301942
NR_034046,56.20832656,0.274078985,0.216354398,-1.266805704,0.205224772,0.795834705
NR_034048,6.07663554,-0.101188581,0.349068928,0.289881377,0.771906989,1
NR_034049,10.43056353,-0.047476113,0.314925357,0.150753541,0.880170136,1
NR_034050,22.36535561,0.379887416,0.274978482,-1.381516884,0.16712009,0.737754806
NR_034051,8.578757097,0.51201032,0.32246864,-1.587783293,0.112335351,0.619245888
NR_034052,3.156758246,0.63752498,0.345048765,-1.847637331,0.064654825,0.486678517
NR_034153,6.517006451,-0.186810063,0.347985331,0.536833153,0.591382869,1
